SppName	Label	OttId	GbifId	ncbiId	Synonyms
Amblysomus hottentotus	Amblysomus_hottentotus_CHRYSOCHLORIDAE_AFROSORICIDA	574736		ncbi:9391	
Amblysomus marleyi	Amblysomus_marleyi_CHRYSOCHLORIDAE_AFROSORICIDA	117566		ncbi:745234	
Amblysomus septentrionalis	Amblysomus_septentrionalis_CHRYSOCHLORIDAE_AFROSORICIDA	178889		ncbi:745241	
Ametrida centurio	Ametrida_centurio_PHYLLOSTOMIDAE_CHIROPTERA	895014	gbif:2433235	ncbi:148033	
Ammospermophilus harrisii	Ammospermophilus_harrisii_SCIURIDAE_RODENTIA	580350	gbif:2437568	ncbi:45487	
Ammospermophilus interpres	Ammospermophilus_interpres_SCIURIDAE_RODENTIA	580348	gbif:2437571	ncbi:45486	Tamias interpres
Ammospermophilus leucurus	Ammospermophilus_leucurus_SCIURIDAE_RODENTIA	580339	gbif:2437570	ncbi:45488	Tamias leucurus,Spermophilus leucurus
Ammotragus lervia	Ammotragus_lervia_BOVIDAE_CETARTIODACTYLA	768699	gbif:2441005	ncbi:9899	Antilope lervia
Amphinectomys savamis	Amphinectomys_savamis_CRICETIDAE_RODENTIA	139343	gbif:4265007	ncbi:218842	
Andalgalomys olrogi	Andalgalomys_olrogi_CRICETIDAE_RODENTIA	554235	gbif:2438727	ncbi:118858	
Andalgalomys pearsoni	Andalgalomys_pearsoni_CRICETIDAE_RODENTIA	554233	gbif:2438726	ncbi:118859	
Andinomys edax	Andinomys_edax_CRICETIDAE_RODENTIA	84877	gbif:2438956	ncbi:118861	Andinomys edax lineicaudatus
Anisomys imitator	Anisomys_imitator_MURIDAE_RODENTIA	976853	gbif:2438052	ncbi:332661	
Anomalurus beecrofti	Anomalurus_beecrofti_ANOMALURIDAE_RODENTIA	254702	gbif:5219881	ncbi:1082180	Anomalurus sp. ED-2017,Anomalurus beecrofti citrinus,Anomalurus beecrofti hervoi,Anomalurus beecrofti argenteus,Anomalurus beecrofti schoutedeni,Anomalurus fulgens,Anomalurus laniger,Anomalurops chapini
Anoura caudifer	Anoura_caudifer_PHYLLOSTOMIDAE_CHIROPTERA	351792	gbif:5963040	ncbi:27642	Anoura caudifera,Glossophaga caudifer
Anoura cultrata	Anoura_cultrata_PHYLLOSTOMIDAE_CHIROPTERA	485774	gbif:5963042	ncbi:999941	
Anoura geoffroyi	Anoura_geoffroyi_PHYLLOSTOMIDAE_CHIROPTERA	688667	gbif:5963041	ncbi:148021	
Anoura latidens	Anoura_latidens_PHYLLOSTOMIDAE_CHIROPTERA	130223	gbif:5963038	ncbi:409016	
Anourosorex squamipes	Anourosorex_squamipes_SORICIDAE_EULIPOTYPHLA	557343	gbif:2435780	ncbi:127560	
Anourosorex yamashinai	Anourosorex_yamashinai_SORICIDAE_EULIPOTYPHLA	843247	gbif:2435781	ncbi:268756	Anourosorex squamipes yamashinai,Anourosorex yamashina
Antechinomys laniger	Antechinomys_laniger_DASYURIDAE_DASYUROMORPHIA	1090598	gbif:2435419	ncbi:60701	Sminthopsis laniger,? laniger
Antechinus agilis	Antechinus_agilis_DASYURIDAE_DASYUROMORPHIA	664295	gbif:2435369	ncbi:400481	
Antechinus bellus	Antechinus_bellus_DASYURIDAE_DASYUROMORPHIA	760615	gbif:2435372	ncbi:71384	Phascogale bella
Antechinus flavipes	Antechinus_flavipes_DASYURIDAE_DASYUROMORPHIA	831054	gbif:2435366	ncbi:38775	Phascogale flavipes
